id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
10081,39948,Super Spacefortress Macross,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11397,48947,F1 Pole Position,NULL,1992-11-20 00:00:00.000,1,NULL,NULL,NULL,50.0000,2
11531,39417,Silent Dragon,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11540,73189,Snap Dragon,NULL,1992-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12276,40184,Sand Scorpion,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12419,12496,3D World Soccer,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12437,75858,"Ranma ½: Datou, Ganso Musabetsu Kakutou-ryuu!",NULL,1992-10-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12439,41170,Bugbomber,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12482,38601,Balloon Brothers,NULL,1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12600,37914,Nakajima Satoru Kanshuu: F-1 Hero '94,NULL,1992-10-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13007,86085,La Colmena,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13027,2828,The Simpsons: Bart's House of Weirdness,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13092,49046,Magnetic Soccer,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13131,39871,Diver Boy,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13298,37953,Koushien 2,NULL,1992-06-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13513,38631,Desert Assault,NULL,1992-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13785,46837,F-1 Grand Prix,NULL,1992-04-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13874,38104,PC Pachislot Idol Gambler,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14067,4480,King Salmon: The Big Catch,NULL,1992-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14111,40985,Capcom World 2 - Adventure Quiz,NULL,1992-12-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14410,14344,Bravo Romeo Delta,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14429,14458,Brix,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14515,98727,Sword Master,NULL,1992-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14596,70491,Menacer 6-Game Cartridge,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14604,145932,The Addams Family,"The player is cast in the role of Tully Alford, the crooked lawyer of the Addams family. He finds out that somewhere in the family mansion, a great treasure is stored in a vault. He decides to venture into the mansion and retrieve the treasure. Naturally, this is going to be anything but easy, as the insane Addams family members and a legion of ghosts and monsters are there to make sure the lawyer fails...",1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14621,37857,Super Oozumou Netsusen Dai-Ichiban,NULL,1992-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14622,178353,Traffic Confusion,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
